,Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,Unnamed: 15,Unnamed: 16
1512,12/05/2004,18.00.00,"2,9",1159.0,-200.0,"13,4",1097.0,136.0,748.0,107.0,1709.0,995.0,"17,4","48,6","0,9559",,
3364,28/07/2004,22.00.00,-200,974.0,-200.0,"9,5",958.0,74.0,783.0,94.0,1528.0,908.0,"27,6","27,4","0,9926",,
2430,20/06/2004,00.00.00,"2,3",-200.0,-200.0,"-200,0",-200.0,144.0,-200.0,109.0,-200.0,-200.0,-200,-200,-200,,
1604,16/05/2004,14.00.00,"0,9",991.0,-200.0,"5,3",776.0,45.0,1122.0,60.0,1375.0,468.0,"29,9","22,0","0,9181",,
3996,24/08/2004,06.00.00,"1,1",868.0,-200.0,"5,7",798.0,83.0,866.0,71.0,1392.0,824.0,"20,1","47,8","1,1093",,
3910,20/08/2004,16.00.00,-200,976.0,-200.0,"4,8",752.0,-200.0,876.0,-200.0,1561.0,545.0,"36,8","30,5","1,8572",,
1839,26/05/2004,09.00.00,4,1303.0,-200.0,"40,2",1776.0,-200.0,946.0,-200.0,1467.0,1608.0,"20,4","35,7","0,8440",,
451,29/03/2004,13.00.00,"1,6",1010.0,146.0,"6,5",833.0,91.0,1070.0,83.0,1332.0,561.0,"17,5","27,9","0,5517",,
2071,05/06/2004,01.00.00,"1,5",937.0,-200.0,"7,8",890.0,-200.0,970.0,-200.0,1625.0,877.0,"20,7","50,0","1,2030",,
1761,23/05/2004,03.00.00,"1,9",1199.0,-200.0,"12,6",1070.0,-200.0,671.0,-200.0,1873.0,1189.0,"18,1","61,6","1,2679",,
943,19/04/2004,01.00.00,-200,988.0,-200.0,"4,2",722.0,-200.0,1029.0,-200.0,1500.0,874.0,"14,1","70,1","1,1224",,
745,10/04/2004,19.00.00,"2,5",1127.0,210.0,"11,2",1022.0,159.0,871.0,129.0,1534.0,921.0,"16,1","35,0","0,6372",,
381,26/03/2004,15.00.00,"1,3",962.0,81.0,"5,3",776.0,89.0,1152.0,75.0,1279.0,550.0,"14,2","36,8","0,5922",,
431,28/03/2004,17.00.00,"1,3",993.0,93.0,"4,1",714.0,77.0,1217.0,75.0,1238.0,516.0,"17,0","31,4","0,6048",,
2363,17/06/2004,05.00.00,"0,5",798.0,-200.0,"3,4",677.0,35.0,1092.0,44.0,1473.0,696.0,"20,2","53,8","1,2569",,
3083,17/07/2004,05.00.00,"0,6",834.0,-200.0,"3,6",689.0,46.0,988.0,58.0,1367.0,796.0,"21,6","45,0","1,1510",,
751,11/04/2004,01.00.00,"1,2",978.0,75.0,"4,0",711.0,48.0,1144.0,63.0,1304.0,750.0,"11,0","56,6","0,7418",,
1804,24/05/2004,22.00.00,"0,7",858.0,-200.0,"4,8",756.0,65.0,1159.0,73.0,1209.0,564.0,"17,3","25,6","0,5032",,
2300,14/06/2004,14.00.00,1,855.0,-200.0,"3,8",698.0,66.0,1134.0,62.0,1449.0,526.0,"25,6","37,0","1,2006",,
3609,08/08/2004,03.00.00,"0,9",886.0,-200.0,"4,6",744.0,-200.0,869.0,-200.0,1590.0,700.0,"24,1","61,8","1,8339",,
3691,11/08/2004,13.00.00,"1,3",1056.0,-200.0,"5,8",802.0,52.0,824.0,47.0,1620.0,670.0,"38,0","30,7","2,0022",,
3892,19/08/2004,22.00.00,-200,1080.0,-200.0,"7,8",890.0,-200.0,723.0,-200.0,1702.0,869.0,"29,8","49,1","2,0248",,
3372,29/07/2004,06.00.00,-200,918.0,-200.0,"7,1",860.0,74.0,807.0,72.0,1488.0,943.0,"21,2","41,2","1,0246",,
2590,26/06/2004,16.00.00,"1,2",1019.0,-200.0,"6,7",842.0,70.0,935.0,73.0,1565.0,729.0,"37,2","20,5","1,2813",,
1136,27/04/2004,02.00.00,"0,5",846.0,31.0,"1,6",557.0,19.0,1385.0,32.0,1212.0,406.0,"15,6","43,4","0,7651",,
3880,19/08/2004,10.00.00,"1,2",1031.0,-200.0,"6,5",834.0,47.0,793.0,47.0,1640.0,737.0,"32,5","39,4","1,8982",,
694,08/04/2004,16.00.00,"1,9",1085.0,209.0,"10,7",1004.0,106.0,888.0,95.0,1454.0,816.0,"21,0","25,4","0,6264",,
3554,05/08/2004,20.00.00,-200,1056.0,-200.0,"7,7",886.0,127.0,732.0,101.0,1721.0,900.0,"20,8","80,9","1,9637",,
2731,02/07/2004,13.00.00,"1,9",1125.0,-200.0,"12,0",1051.0,125.0,730.0,120.0,1771.0,923.0,"36,9","23,3","1,4313",,
2406,19/06/2004,00.00.00,"1,6",1038.0,-200.0,"10,4",992.0,87.0,802.0,87.0,1731.0,1007.0,"24,4","47,4","1,4301",,
1515,12/05/2004,21.00.00,"1,6",984.0,-200.0,"6,9",851.0,112.0,959.0,101.0,1452.0,817.0,"16,8","45,6","0,8636",,
1174,28/04/2004,16.00.00,"2,9",1329.0,375.0,"16,2",1185.0,140.0,768.0,121.0,1750.0,1111.0,"28,4","26,0","0,9922",,
912,17/04/2004,18.00.00,-200,997.0,-200.0,"5,5",788.0,-200.0,1014.0,-200.0,1482.0,644.0,"16,9","53,2","1,0179",,
1178,28/04/2004,20.00.00,"5,3",1642.0,804.0,"24,9",1426.0,265.0,597.0,162.0,2117.0,1720.0,"21,8","43,6","1,1226",,
1265,02/05/2004,11.00.00,"1,3",1008.0,-200.0,"6,1",816.0,78.0,1015.0,72.0,1531.0,689.0,"23,6","36,4","1,0431",,
342,25/03/2004,00.00.00,"1,3",997.0,81.0,"4,5",737.0,80.0,1168.0,89.0,1341.0,631.0,"10,3","59,9","0,7516",,
2842,07/07/2004,04.00.00,"0,4",828.0,-200.0,"2,6",626.0,27.0,1073.0,45.0,1362.0,754.0,"25,5","34,6","1,1096",,
1225,30/04/2004,19.00.00,"5,7",1626.0,642.0,"26,9",1476.0,281.0,555.0,135.0,2356.0,1786.0,"19,8","58,6","1,3392",,
982,20/04/2004,16.00.00,-200,1129.0,-200.0,"13,7",1107.0,-200.0,844.0,-200.0,1742.0,940.0,"25,9","26,9","0,8845",,
1635,17/05/2004,21.00.00,"1,2",944.0,-200.0,"6,4",832.0,72.0,1072.0,81.0,1350.0,712.0,"21,1","26,2","0,6481",,
3536,05/08/2004,02.00.00,-200,908.0,-200.0,"3,8",700.0,-200.0,922.0,-200.0,1547.0,644.0,"25,4","54,4","1,7384",,
2394,18/06/2004,12.00.00,"2,3",1116.0,-200.0,"14,3",1128.0,153.0,739.0,129.0,1856.0,1042.0,"34,9","24,9","1,3630",,
2994,13/07/2004,12.00.00,"2,7",986.0,-200.0,"14,5",1133.0,253.0,773.0,141.0,1619.0,1174.0,"33,7","15,4","0,7913",,
2892,09/07/2004,06.00.00,1,1020.0,-200.0,"7,2",866.0,92.0,847.0,83.0,1636.0,744.0,"26,9","40,3","1,4041",,
3537,05/08/2004,03.00.00,-200,853.0,-200.0,"2,3",605.0,-200.0,1032.0,-200.0,1488.0,615.0,"25,4","54,6","1,7432",,
30,12/03/2004,00.00.00,"1,7",1080.0,55.0,"5,9",805.0,122.0,1254.0,97.0,1375.0,816.0,"8,3","58,5","0,6438",,
3864,18/08/2004,18.00.00,"1,5",1042.0,-200.0,"8,9",936.0,84.0,759.0,72.0,1630.0,770.0,"36,4","26,8","1,6038",,
3967,23/08/2004,01.00.00,-200,870.0,-200.0,"4,4",733.0,-200.0,903.0,-200.0,1392.0,762.0,"23,4","46,3","1,3134",,
794,12/04/2004,20.00.00,"1,2",964.0,68.0,"3,7",692.0,88.0,1176.0,82.0,1292.0,573.0,"10,6","57,7","0,7362",,
3043,15/07/2004,13.00.00,2,1032.0,-200.0,"12,6",1071.0,127.0,742.0,131.0,1619.0,840.0,"35,7","18,9","1,0865",,
1641,18/05/2004,03.00.00,"0,2",812.0,-200.0,"1,2",521.0,-200.0,1413.0,-200.0,1233.0,469.0,"21,2","32,9","0,8178",,
1923,29/05/2004,21.00.00,1,901.0,-200.0,"6,5",834.0,102.0,1177.0,103.0,1408.0,738.0,"20,1","35,0","0,8149",,
777,12/04/2004,03.00.00,"0,6",830.0,34.0,"1,7",560.0,-200.0,1452.0,-200.0,1066.0,350.0,"14,4","32,8","0,5364",,
1745,22/05/2004,11.00.00,"1,8",1238.0,-200.0,"11,6",1037.0,113.0,813.0,91.0,1698.0,978.0,"25,6","32,5","1,0530",,
1907,29/05/2004,05.00.00,-200,738.0,-200.0,"1,5",545.0,18.0,1562.0,29.0,1266.0,450.0,"17,7","49,7","0,9970",,
1118,26/04/2004,08.00.00,"2,1",1033.0,235.0,"8,9",934.0,134.0,917.0,89.0,1490.0,844.0,"15,0","41,7","0,7093",,
1279,03/05/2004,01.00.00,"0,8",917.0,-200.0,"3,0",654.0,37.0,1169.0,52.0,1414.0,545.0,"17,6","54,6","1,0918",,
1617,17/05/2004,03.00.00,"0,4",771.0,-200.0,"1,4",533.0,-200.0,1566.0,-200.0,1110.0,360.0,"17,4","30,2","0,5945",,
1553,14/05/2004,11.00.00,"1,9",987.0,-200.0,"10,0",979.0,130.0,923.0,101.0,1515.0,962.0,"25,5","25,6","0,8218",,
3894,20/08/2004,00.00.00,-200,998.0,-200.0,"5,3",776.0,-200.0,810.0,-200.0,1608.0,665.0,"28,5","52,1","2,0036",,
3450,01/08/2004,12.00.00,"0,6",944.0,-200.0,"4,3",730.0,30.0,933.0,34.0,1495.0,560.0,"37,4","28,2","1,7808",,
3583,07/08/2004,01.00.00,"1,2",925.0,-200.0,"6,4",831.0,57.0,789.0,57.0,1662.0,975.0,"23,4","64,9","1,8430",,
2705,01/07/2004,11.00.00,2,1141.0,-200.0,"10,5",996.0,179.0,767.0,125.0,1805.0,994.0,"34,2","31,8","1,6837",,
1373,06/05/2004,23.00.00,"1,8",1021.0,-200.0,"7,3",871.0,93.0,938.0,81.0,1586.0,805.0,"14,1","64,9","1,0405",,
3403,30/07/2004,13.00.00,-200,1055.0,-200.0,"10,1",980.0,80.0,742.0,101.0,1610.0,688.0,"37,7","21,8","1,3977",,
2998,13/07/2004,16.00.00,"1,7",905.0,-200.0,"8,8",931.0,124.0,876.0,90.0,1460.0,776.0,"28,3","21,3","0,8054",,
3251,24/07/2004,05.00.00,"0,8",967.0,-200.0,"5,5",789.0,61.0,810.0,61.0,1597.0,995.0,"24,6","52,2","1,5881",,
2601,27/06/2004,03.00.00,1,953.0,-200.0,"6,7",844.0,-200.0,848.0,-200.0,1685.0,995.0,"23,2","53,7","1,5046",,
3281,25/07/2004,11.00.00,"0,9",928.0,-200.0,"3,6",687.0,48.0,1025.0,66.0,1491.0,528.0,"27,6","43,7","1,5877",,
780,12/04/2004,06.00.00,"0,4",835.0,23.0,"0,7",472.0,33.0,1756.0,49.0,1117.0,314.0,"13,9","43,6","0,6871",,
1567,15/05/2004,01.00.00,"1,2",947.0,-200.0,"5,7",798.0,67.0,964.0,81.0,1395.0,930.0,"18,0","40,5","0,8271",,
2598,27/06/2004,00.00.00,"2,1",1127.0,-200.0,"11,7",1041.0,120.0,728.0,97.0,1830.0,1266.0,"26,5","44,8","1,5280",,
3101,17/07/2004,23.00.00,"2,4",1165.0,-200.0,"11,8",1043.0,125.0,717.0,120.0,1644.0,1188.0,"26,8","29,9","1,0402",,
3760,14/08/2004,10.00.00,"0,9",933.0,-200.0,"4,7",748.0,51.0,948.0,52.0,1551.0,629.0,"31,6","35,5","1,6269",,
3867,18/08/2004,21.00.00,"1,4",1025.0,-200.0,"7,9",896.0,70.0,738.0,55.0,1693.0,823.0,"29,9","44,7","1,8511",,
1732,21/05/2004,22.00.00,"2,5",1274.0,-200.0,"13,3",1094.0,160.0,771.0,126.0,1682.0,1231.0,"20,5","35,9","0,8565",,
522,01/04/2004,12.00.00,"1,7",1129.0,137.0,"7,4",875.0,106.0,974.0,73.0,1524.0,759.0,"20,6","36,7","0,8797",,
2995,13/07/2004,13.00.00,"2,3",908.0,-200.0,"11,5",1031.0,187.0,857.0,112.0,1469.0,901.0,"34,5","13,3","0,7158",,
1815,25/05/2004,09.00.00,"2,1",1058.0,-200.0,"15,3",1158.0,149.0,820.0,91.0,1459.0,1187.0,"19,2","20,0","0,4390",,
1278,03/05/2004,00.00.00,"1,6",1031.0,-200.0,"7,1",861.0,97.0,903.0,94.0,1534.0,825.0,"18,0","49,3","1,0086",,
2369,17/06/2004,11.00.00,"1,7",1027.0,-200.0,"8,9",936.0,152.0,867.0,117.0,1696.0,931.0,"27,1","38,3","1,3548",,
2201,10/06/2004,11.00.00,"2,4",1152.0,-200.0,"13,6",1102.0,157.0,770.0,134.0,1868.0,1113.0,"33,5","27,2","1,3859",,
617,05/04/2004,11.00.00,3,1430.0,339.0,"13,7",1107.0,228.0,713.0,121.0,1853.0,1409.0,"16,6","55,2","1,0382",,
1309,04/05/2004,07.00.00,"4,5",1564.0,-200.0,"23,0",1379.0,302.0,552.0,109.0,2306.0,1393.0,"16,6","78,0","1,4572",,
605,04/04/2004,23.00.00,-200,1188.0,-200.0,"6,4",829.0,-200.0,930.0,-200.0,1540.0,785.0,"15,3","60,8","1,0501",,
3490,03/08/2004,04.00.00,-200,866.0,-200.0,"2,3",603.0,48.0,1077.0,55.0,1459.0,589.0,"25,8","50,9","1,6605",,
1612,16/05/2004,22.00.00,"1,4",1034.0,-200.0,"5,9",805.0,92.0,1030.0,97.0,1416.0,750.0,"20,8","36,3","0,8775",,
1072,24/04/2004,10.00.00,"2,6",1301.0,321.0,"12,3",1059.0,161.0,787.0,107.0,1727.0,1297.0,"23,9","33,7","0,9837",,
2589,26/06/2004,15.00.00,1,958.0,-200.0,"5,6",795.0,52.0,1002.0,65.0,1481.0,604.0,"38,4","17,5","1,1609",,
3819,16/08/2004,21.00.00,"1,4",972.0,-200.0,"8,0",898.0,79.0,807.0,88.0,1508.0,879.0,"29,5","32,1","1,3005",,
726,10/04/2004,00.00.00,"1,3",1047.0,77.0,"5,4",783.0,83.0,1014.0,79.0,1449.0,975.0,"12,0","66,9","0,9336",,
2864,08/07/2004,02.00.00,"0,6",962.0,-200.0,"5,8",803.0,43.0,853.0,60.0,1507.0,1066.0,"27,5","34,0","1,2310",,
1995,01/06/2004,21.00.00,"2,1",1230.0,-200.0,"15,7",1169.0,159.0,737.0,77.0,2020.0,1275.0,"20,6","68,1","1,6329",,
1237,01/05/2004,07.00.00,"1,2",1012.0,-200.0,"6,5",833.0,75.0,916.0,67.0,1632.0,862.0,"16,9","66,5","1,2688",,
669,07/04/2004,15.00.00,"1,9",1177.0,117.0,"7,5",880.0,146.0,927.0,104.0,1552.0,776.0,"10,9","76,4","0,9953",,
3068,16/07/2004,14.00.00,"2,2",1021.0,-200.0,"13,2",1092.0,161.0,764.0,150.0,1606.0,908.0,"37,5","14,3","0,9099",,
3763,14/08/2004,13.00.00,"0,8",873.0,-200.0,"3,8",699.0,47.0,999.0,53.0,1413.0,528.0,"36,2","24,1","1,4235",,
2871,08/07/2004,09.00.00,3,1385.0,-200.0,"18,0",1240.0,288.0,596.0,155.0,1919.0,1847.0,"29,5","32,7","1,3229",,
1168,28/04/2004,10.00.00,"3,4",1469.0,372.0,"18,4",1252.0,255.0,692.0,155.0,1903.0,1807.0,"24,2","33,8","1,0097",,
1550,14/05/2004,08.00.00,-200,1512.0,-200.0,"29,1",1530.0,-200.0,527.0,-200.0,2326.0,1725.0,"20,0","45,6","1,0524",,
302,23/03/2004,08.00.00,3,1441.0,248.0,"14,2",1124.0,224.0,851.0,130.0,1829.0,1089.0,"10,0","74,2","0,9117",,
61,13/03/2004,07.00.00,"1,5",1112.0,47.0,"5,1",770.0,139.0,1228.0,77.0,1409.0,940.0,"6,3","71,9","0,6932",,
3884,19/08/2004,14.00.00,1,961.0,-200.0,"5,8",803.0,23.0,852.0,34.0,1552.0,618.0,"37,1","27,2","1,6874",,
45,12/03/2004,15.00.00,"2,9",1353.0,185.0,"14,2",1122.0,190.0,922.0,126.0,1740.0,1139.0,"15,8","37,0","0,6610",,
3558,06/08/2004,00.00.00,-200,1058.0,-200.0,"7,2",867.0,93.0,731.0,80.0,1685.0,1048.0,"22,1","72,6","1,9105",,
1145,27/04/2004,11.00.00,"1,7",1066.0,128.0,"8,8",931.0,118.0,979.0,81.0,1474.0,757.0,"24,8","25,3","0,7793",,
3887,19/08/2004,17.00.00,"1,7",1091.0,-200.0,"9,3",953.0,51.0,723.0,63.0,1688.0,853.0,"39,6","24,3","1,7255",,
1735,22/05/2004,01.00.00,"3,3",1357.0,-200.0,"16,0",1178.0,167.0,674.0,124.0,1782.0,1454.0,"17,8","46,1","0,9344",,
3510,04/08/2004,00.00.00,-200,1074.0,-200.0,"9,2",949.0,104.0,678.0,89.0,1751.0,982.0,"27,5","51,5","1,8664",,
3961,22/08/2004,19.00.00,-200,922.0,-200.0,"7,4",874.0,-200.0,851.0,-200.0,1447.0,663.0,"30,4","28,2","1,2040",,
3871,19/08/2004,01.00.00,"0,9",936.0,-200.0,"4,4",730.0,48.0,864.0,38.0,1551.0,726.0,"27,7","52,6","1,9202",,
2664,29/06/2004,18.00.00,"3,7",1372.0,-200.0,"23,2",1382.0,202.0,568.0,181.0,2268.0,1441.0,"36,9","27,8","1,7099",,
2209,10/06/2004,19.00.00,"5,1",1373.0,-200.0,"25,4",1440.0,363.0,635.0,211.0,2183.0,1510.0,"33,1","25,9","1,2923",,
2868,08/07/2004,06.00.00,"0,6",990.0,-200.0,"6,2",821.0,57.0,848.0,62.0,1511.0,1079.0,"27,5","34,6","1,2518",,
1740,22/05/2004,06.00.00,"0,5",986.0,-200.0,"4,6",745.0,61.0,959.0,66.0,1426.0,888.0,"16,5","53,5","0,9928",,
220,19/03/2004,22.00.00,"2,2",1175.0,-200.0,"9,1",945.0,143.0,904.0,116.0,1604.0,1081.0,"14,7","57,6","0,9573",,
498,31/03/2004,12.00.00,"2,9",1430.0,332.0,"11,3",1025.0,204.0,779.0,123.0,1772.0,1166.0,"12,3","73,3","1,0442",,
231,20/03/2004,09.00.00,"2,4",1348.0,-200.0,"10,5",998.0,147.0,834.0,102.0,1689.0,1218.0,"14,6","53,1","0,8765",,
612,05/04/2004,06.00.00,-200,1126.0,-200.0,"6,2",822.0,-200.0,945.0,-200.0,1541.0,927.0,"12,9","65,3","0,9688",,
2124,07/06/2004,06.00.00,"1,5",933.0,-200.0,"9,6",962.0,167.0,867.0,76.0,1705.0,974.0,"17,3","57,6","1,1289",,
3306,26/07/2004,12.00.00,-200,998.0,-200.0,"8,3",913.0,90.0,834.0,90.0,1635.0,826.0,"34,7","26,5","1,4408",,
1306,04/05/2004,04.00.00,-200,881.0,-200.0,"1,5",546.0,21.0,1335.0,28.0,1465.0,458.0,"15,6","81,0","1,4216",,
1135,27/04/2004,01.00.00,"0,7",826.0,41.0,"1,7",560.0,25.0,1424.0,39.0,1197.0,402.0,"15,7","42,5","0,7539",,
3734,13/08/2004,08.00.00,"1,6",1086.0,-200.0,"10,1",981.0,100.0,688.0,86.0,1818.0,1007.0,"27,0","57,5","2,0183",,
1986,01/06/2004,12.00.00,"1,9",1259.0,-200.0,"15,9",1178.0,191.0,722.0,89.0,2060.0,1367.0,"21,6","61,8","1,5775",,
1633,17/05/2004,19.00.00,"3,4",1215.0,-200.0,"17,8",1234.0,180.0,796.0,125.0,1735.0,1167.0,"23,5","20,8","0,5937",,
2890,09/07/2004,04.00.00,"0,4",876.0,-200.0,"2,3",605.0,29.0,1144.0,40.0,1432.0,456.0,"27,4","42,2","1,5177",,
1031,22/04/2004,17.00.00,-200,1431.0,-200.0,"27,1",1482.0,-200.0,679.0,-200.0,2025.0,1431.0,"29,4","20,5","0,8262",,
1756,22/05/2004,22.00.00,"2,6",1321.0,-200.0,"12,7",1075.0,101.0,757.0,85.0,1891.0,1017.0,"20,6","50,5","1,2082",,
527,01/04/2004,17.00.00,"3,3",1308.0,388.0,"16,4",1193.0,163.0,793.0,106.0,1193.0,1187.0,"23,6","27,5","0,7913",,
1167,28/04/2004,09.00.00,"4,6",1592.0,658.0,"24,7",1423.0,322.0,577.0,146.0,2155.0,2108.0,"19,3","46,4","1,0248",,
379,26/03/2004,13.00.00,"2,3",1106.0,211.0,"12,5",1068.0,116.0,915.0,99.0,1535.0,874.0,"19,1","26,2","0,5741",,
2853,07/07/2004,15.00.00,"1,8",1056.0,-200.0,"11,3",1024.0,159.0,792.0,121.0,1555.0,1068.0,"41,0","11,6","0,8872",,
2460,21/06/2004,06.00.00,"1,3",934.0,-200.0,"8,3",911.0,85.0,857.0,64.0,1639.0,863.0,"18,6","56,0","1,1865",,
635,06/04/2004,05.00.00,"0,8",980.0,62.0,"3,4",677.0,73.0,1141.0,64.0,1435.0,659.0,"14,6","58,8","0,9711",,
1833,26/05/2004,03.00.00,-200,-200.0,-200.0,"-200,0",-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200,-200,-200,,
1023,22/04/2004,09.00.00,-200,1538.0,-200.0,"26,1",1458.0,-200.0,593.0,-200.0,2186.0,1743.0,"19,2","41,6","0,9154",,
3190,21/07/2004,16.00.00,-200,1105.0,-200.0,"10,2",984.0,97.0,767.0,106.0,1532.0,868.0,"42,7","14,4","1,2092",,
1966,31/05/2004,16.00.00,"1,8",1104.0,-200.0,"15,7",1171.0,150.0,827.0,128.0,1803.0,968.0,"28,1","29,8","1,1132",,
3601,07/08/2004,19.00.00,"1,6",990.0,-200.0,"8,3",912.0,65.0,777.0,86.0,1648.0,689.0,"32,2","37,4","1,7655",,
1067,24/04/2004,05.00.00,"0,7",933.0,65.0,"3,7",697.0,71.0,1045.0,65.0,1403.0,937.0,"14,8","57,7","0,9644",,
3150,20/07/2004,00.00.00,-200,1068.0,-200.0,"8,8",931.0,72.0,762.0,94.0,1576.0,1317.0,"27,6","36,6","1,3320",,
3280,25/07/2004,10.00.00,"0,7",908.0,-200.0,"2,7",632.0,35.0,1095.0,46.0,1494.0,500.0,"27,0","47,4","1,6661",,
3010,14/07/2004,04.00.00,"0,5",777.0,-200.0,"2,9",645.0,39.0,1076.0,59.0,1334.0,781.0,"20,5","42,3","1,0091",,
2451,20/06/2004,21.00.00,"1,4",-200.0,-200.0,"-200,0",-200.0,74.0,-200.0,85.0,-200.0,-200.0,-200,-200,-200,,
2579,26/06/2004,05.00.00,"0,4",769.0,-200.0,"2,3",606.0,41.0,1171.0,58.0,1314.0,610.0,"19,5","42,4","0,9515",,
3778,15/08/2004,04.00.00,-200,789.0,-200.0,"2,0",584.0,18.0,1107.0,27.0,1457.0,571.0,"22,4","62,2","1,6648",,
3672,10/08/2004,18.00.00,"1,8",1110.0,-200.0,"10,9",1012.0,91.0,720.0,96.0,1725.0,905.0,"38,8","24,7","1,6772",,
2550,25/06/2004,00.00.00,"2,6",1072.0,-200.0,"14,1",1120.0,124.0,711.0,100.0,1838.0,1045.0,"23,7","46,0","1,3346",,
2341,16/06/2004,07.00.00,"2,7",1244.0,-200.0,"18,9",1265.0,176.0,640.0,95.0,2084.0,1257.0,"21,3","56,9","1,4226",,
2782,04/07/2004,16.00.00,"0,6",872.0,-200.0,"4,0",708.0,39.0,1106.0,56.0,1331.0,489.0,"38,9","15,6","1,0613",,
3534,05/08/2004,00.00.00,-200,1015.0,-200.0,"6,6",840.0,-200.0,783.0,-200.0,1664.0,839.0,"25,0","53,6","1,6721",,
299,23/03/2004,05.00.00,"0,3",834.0,19.0,"0,6",459.0,13.0,1908.0,22.0,1212.0,361.0,"8,8","80,5","0,9147",,
1414,08/05/2004,16.00.00,-200,903.0,-200.0,"5,4",786.0,-200.0,1073.0,-200.0,1375.0,523.0,"19,8","35,4","0,8099",,
3273,25/07/2004,03.00.00,"0,4",851.0,-200.0,"2,1",589.0,-200.0,1119.0,-200.0,1432.0,501.0,"25,0","53,1","1,6541",,
494,31/03/2004,08.00.00,"4,1",1580.0,644.0,"19,9",1295.0,230.0,639.0,115.0,1957.0,1489.0,"13,2","61,1","0,9256",,
1792,24/05/2004,10.00.00,1,847.0,-200.0,"5,8",800.0,116.0,1155.0,90.0,1179.0,649.0,"21,7","18,1","0,4642",,
3339,27/07/2004,21.00.00,-200,888.0,-200.0,"6,7",843.0,82.0,892.0,100.0,1438.0,729.0,"26,1","28,3","0,9456",,
1996,01/06/2004,22.00.00,"1,6",1148.0,-200.0,"12,0",1048.0,136.0,822.0,75.0,1883.0,1168.0,"20,5","66,9","1,5914",,
829,14/04/2004,07.00.00,"3,9",1417.0,478.0,"18,2",1246.0,263.0,669.0,94.0,1921.0,1403.0,"10,8","64,0","0,8307",,
2037,03/06/2004,15.00.00,-200,903.0,-200.0,"9,7",968.0,-200.0,992.0,-200.0,1565.0,740.0,"28,7","25,0","0,9684",,
1367,06/05/2004,17.00.00,"3,3",1138.0,-200.0,"12,4",1063.0,169.0,804.0,122.0,1728.0,983.0,"14,4","64,2","1,0490",,
1710,21/05/2004,00.00.00,"1,2",1045.0,-200.0,"6,8",850.0,78.0,889.0,93.0,1506.0,1102.0,"20,5","42,0","1,0004",,
